"Name","Symbol","Last","Chg. %","Market Cap","Vol."
"Exxon Mobil","XOM","57.71","2.72%","244.32B","34.23M"
"Verizon","VZ","58.18","1.39%","240.76B","19.63M"
"Meituan","MPNGF","38.45","3.56%","228.75B","38.08K"
"Coca-Cola","KO","53.04","1.96%","228.57B","17.13M"
"Netflix","NFLX","508.05","1.03%","225.01B","3.47M"
"Adobe","ADBE","469.09","4.01%","224.85B","3.62M"
"Ping An Insurance Company of China","PNGAY","24.46","1.33%","222.78B","124.31K"
"Cisco","CSCO","52.57","4.08%","221.90B","32.00M"
"Abbott Labs","ABT","122.07","2.54%","216.25B","4.86M"
"AT&T ELKS","TBC","26.96","-0.33%","216.16B","36.12K"
"AT&T","T","30.31","0.76%","216.16B","62.97M"
"L’Oreal ADR","LRLCY","76.70","0.79%","213.60B","133.56K"
"Toyota Motor ADR","TM","153.37","1.52%","212.97B","312.22K"
"Toyota Motor","TOYOF","76.58","2.10%","212.97B","424.00"
"Nike","NKE","132.99","3.38%","209.46B","10.01M"
"Chevron","CVX","107.48","2.29%","207.05B","9.82M"
"Oracle","ORCL","70.25","2.36%","202.57B","12.62M"
"Pfizer","PFE","36.25","1.63%","202.21B","27.94M"
"National Art Exchange","NAEX","2.00K","0.00%","200.58B","0.00"
"China Merchants Bank Co","CIHKY","39.32","1.03%","198.98B","16.83K"
"PepsiCo","PEP","142.70","2.20%","196.87B","6.79M"
"Broadcom","AVGO","482.04","4.41%","196.82B","2.89M"
"Broadcom Mandatory","AVGOP","1.52K","3.52%","196.82B","191.71K"
"Novartis ADR","NVS","87.41","0.23%","196.74B","1.57M"
"Novartis","NVSEF","84.85","-1.16%","196.74B","2.03K"
"Merck&Co","MRK","77.39","1.74%","195.82B","9.91M"
"Salesforce.com","CRM","209.09","1.78%","192.57B","7.33M"
"AbbVie","ABBV","105.98","2.02%","187.04B","6.60M"
"Accenture","ACN","280.77","4.53%","186.89B","3.17M"
"Thermo Fisher Scientific","TMO","460.06","4.02%","182.34B","1.75M"
"Agricultural Bank of China PK","ACGBY","10.17","1.09%","178.20B","3.73K"
"Agricultural Bank Of China","ACGBF","0.40","0.00%","178.20B","0.00"
"Eli Lilly","LLY","185.31","1.21%","177.71B","2.87M"
"BHP Billiton Ltd ADR","BHP","70.31","3.92%","173.96B","2.21M"
"BHP Billiton Ltd","BHPLF","33.42","0.00%","173.96B","0.00"
"Texas Instruments","TXN","188.20","5.44%","173.71B","6.36M"
"McDonald’s","MCD","225.21","0.45%","167.91B","3.26M"
"Wells Fargo Pref W","WFC_pw","25.01","0.00%","164.37B","0.00"
"Wells Fargo Pref L","WFC_pl","1.40K","0.39%","164.37B","4.66K"
"Wells Fargo & Co Po ADR","WFC_po","25.70","0.08%","164.37B","18.15K"
"Wells Fargo&Co","WFC","39.76","1.17%","164.37B","29.16M"
"Wells Fargo & Co Pn ADR","WFC_pn","25.71","0.23%","164.37B","11.77K"
"Wells Fargo & Co Pp ADR","WFC_pp","25.01","0.00%","164.37B","0.00"
"Wells Fargo & Co Pq ADR","WFC_pq","26.90","-0.19%","164.37B","93.34K"
"Wells Fargo Pref R","WFC_pr","28.78","-0.31%","164.37B","37.34K"
"Wells Fargo & Co Pt ADR","WFC_pt","25.02","0.00%","164.37B","0.00"
"Wells Fargo & Co Pv ADR","WFC_pv","25.00","0.00%","164.37B","0.00"
"Wells Fargo Pref X","WFC_px","25.68","-0.04%","164.37B","40.42K"
"Danaher","DHR","226.27","3.47%","161.35B","2.64M"
"Danaher","DHR_pa","1.50K","0.00%","161.35B","0.00"
