	발발시점	종료시점	갈등이름	갈등종류	위치	전쟁규모	참전국수	전쟁수
1	2001.9	2003.3	쿠르드이슬람교분쟁	민족	이라크 쿠르디스탄	71000	3	1
2	2001.9.11	현재	테러와의전쟁	테러	글로벌		48	1
3	2002.1.15	2015.2.24	영원한자유작전-필리핀	테러	만다나오,필리핀제도	115800	2	1
4	2002.10.7	현재	영원한자유작전-아프리카의뿔	테러	아프리카의뿔,아덴만,Guardafui채널		38	1
5	2006	현재	탈레반반란	테러	아프가니스탄	416000	15	1
6	2003.3.20	2011.12.18	이라크전쟁	테러	이라크		41	1
7	2004.4.1	2015.8	이란-PJAK충돌	민족	아제르바이잔,이란,이라크,터키	17000	3	1
8	2004.4.18	2014.9.16	예멘의 Houthi 반란	내란	예멘	32000	7	1
9	2005.8.27	현재	파라과이인민군반란	내란	파라과이	3650	3	1
10	2006.1.25	현재	파타-하마스 분쟁	테러	가자지구	55000	3	1
11	2006.6.12	2006.8.14	2006년레바논전쟁	테러	레바논	10500	2	1
12	2006.2.22	2008.5.11	이라크내전	내란	이라크	748000	5	1
13	2006.12.11	현재	멕시코마약전쟁	마약	멕시코,텍사스	360000	4	1
14	2006.12.30	2009.1.30	소말리아전쟁	해적	소말리아	35250	8	1
15	2007.2.6	현재	영원한자유작전-트랜스사하라	테러	사하라사막,북아프리카	5325	17	1
16	2008.3.25	현재	2008 안주안침공	내란	안주안	2500	7	1
17	2009.7.26	현재	보코하람반란	내란	북동부나이지리아		19	1
18	2009.1.31	현재	소말리아내전	해적	소말리아,케냐	41600	11	1
19	2010.5.23	2010.6.23	킹스톤불안	마약	자메이카 킹스톤	1500	2	1
20	2011.2.15	2011.10.23	리비아내전	내란	리비아	37000	21	1
21	2011.3.15	현재	시리아내전	내란	시리아	144600	13	1
22	2011.6.17	2017.8.28	레바논에서의시리아내전파급	내란	레바논	13500	19	1
23	2012.1.16	현재	북부말리전쟁	테러	북부 말리	24764	57	1
24	2013.12.30	2017.12.09	이라크 내전	내란	이라크	770000	22	1
25	2014.5.16	2020.10.23	리비아 내전	내란	리비아		19	1
26	2014.6.13	현재	ISIL에대한국제군사개입	테러	이라크,시리아,리비아,나이지리아,아프가니스탄,북코카서스 및 동남아시아	472260	41	1
27	2014.9.16	현재	예멘내전	내란	예멘,남부사이디아라비아	156000	19	1
28	2017.5.23	2017.10.23	마라위위기	테러	마라위, 필리핀제도	7500	5	1
29	2017.12.9	현재	이라크반란	내란	서부및북부이라크	188900	13	1
30	2019.5.5	현재	2019-20 페르시아만위기	민족	페르스만		13	1
