Date,Open,High,Low,Close,Adj Close,Volume
1996-11-07,26.657705,26.769712,26.377687,26.657705,14.088394,93521
1996-11-08,26.713711,26.825718,26.377687,26.713711,14.117996,26338
1996-11-11,27.049730,27.217743,26.713711,27.049730,14.295579,22097
1996-11-12,26.825718,27.105736,26.657705,26.825718,14.177190,78343
1996-11-13,26.769712,26.881720,26.433693,26.769712,14.147594,27007
1996-11-14,26.601704,26.769712,26.433693,26.601704,14.058801,48658
1996-11-15,26.825718,26.881720,26.601704,26.825718,14.177190,25445
1996-11-18,26.713711,26.769712,26.377687,26.713711,14.117996,104904
1996-11-19,26.489695,26.545698,26.097670,26.489695,13.999605,83923
1996-11-20,26.433693,26.545698,26.209677,26.433693,13.970009,220522
1996-11-21,26.377687,26.545698,26.153673,26.377687,13.940409,56470
1996-11-22,26.545698,26.657705,26.265680,26.545698,14.029202,59148
1996-11-25,26.321686,26.545698,26.209677,26.321686,13.910815,37721
1996-11-26,26.097670,26.265680,25.929659,26.097670,13.792421,243065
1996-11-27,26.209677,26.321686,25.929659,26.209677,13.851620,43078
1996-11-29,26.153673,26.377687,25.985662,26.153673,13.822024,19195
1996-12-02,25.985662,26.097670,25.649643,25.985662,13.733228,35712
1996-12-03,26.153673,26.209677,25.537634,26.153673,13.822024,100217
1996-12-04,25.873655,26.244680,25.817652,25.873655,13.674031,78343
1996-12-05,26.097670,26.377687,25.705645,26.097670,13.792421,40399
1996-12-06,25.649643,25.985662,25.537634,25.649643,13.555644,69192
1996-12-09,25.817652,25.873655,25.481630,25.817652,13.644434,161150
1996-12-10,26.097670,26.433693,25.649643,26.097670,13.792421,86602
1996-12-11,26.153673,26.377687,25.537634,26.153673,13.822024,40399
1996-12-12,26.153673,26.153673,25.761648,26.153673,13.822024,82584
1996-12-13,25.985662,25.985662,25.425627,25.985662,13.733228,57139
1996-12-16,26.097670,26.097670,25.593637,26.097670,13.792421,178337
1996-12-17,26.041668,26.041668,25.649643,26.041668,13.762826,335246
1996-12-18,25.873655,25.929659,25.411627,25.873655,13.674031,481442
1996-12-19,25.257616,25.425627,25.033602,25.257616,13.348464,277661
1996-12-20,25.257616,25.369623,24.977598,25.257616,13.348464,191282
1996-12-23,25.201612,25.257616,24.865591,25.201612,13.318863,469166
1996-12-24,25.033602,25.201612,24.641577,25.033602,13.230069,394394
1996-12-26,24.977598,25.145609,24.697580,24.977598,13.200473,265385
1996-12-27,25.089605,25.257616,24.809587,25.089605,13.259668,353102
1996-12-30,25.649643,25.649643,25.537634,25.649643,13.555644,420732
1996-12-31,25.761648,25.873655,25.313620,25.761648,13.614838,170078
1997-01-02,25.593637,25.761648,25.369623,25.593637,13.526049,451087
1997-01-03,25.425627,25.649643,25.173611,25.425627,13.437257,759326
1997-01-06,25.369623,25.537634,25.145609,25.369623,13.407652,440597
1997-01-07,25.425627,25.537634,25.089605,25.425627,13.437257,597283
1997-01-08,25.369623,25.649643,25.201612,25.369623,13.407652,1456380
1997-01-09,25.537634,25.649643,25.257616,25.537634,13.496447,603756
1997-01-10,25.369623,25.481630,24.977598,25.369623,13.407652,811109
1997-01-13,25.537634,25.649643,25.201612,25.537634,13.496447,1252598
1997-01-14,25.537634,25.705645,25.313620,25.537634,13.496447,1118232
1997-01-15,25.425627,25.593637,25.222614,25.425627,13.437257,1519769
1997-01-16,25.369623,25.537634,25.145609,25.369623,13.407652,1291658
1997-01-17,25.033602,25.537634,24.697580,25.033602,13.230069,1527581
1997-01-20,24.585573,24.809587,24.193548,24.585573,12.993291,862668
1997-01-21,24.473566,24.697580,23.241488,24.473566,12.934096,3189751
